Results Overall - All Groups - Updated: 3:06pm Sunday,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,72,Feras Qartoumy,TRACK MODIFIED - RWD,56.402,Corvette
2,626,Cody Miles,TRACK MODIFIED - AWD,58.101,STi
3,131,Michael Forsythe,TRACK MODIFIED - RWD,58.371,S2000
4,150,Alexander Moss,STREET MODIFIED - RWD,58.546,S2000
5,86,Jackie Ding,STREET MODIFIED - RWD,58.918,Supra #TA90
6,281,Casey Jones,UNLIMITED - RWD,59.816,Corvette
7,196,Benjamin Councill,UNLIMITED - RWD,59.915,Vette
8,206,Dalton Klein,TRACK MODIFIED - RWD,1:00.069,Corvette Z06
9,70,Dewey DeWitt,STREET MODIFIED - AWD,1:00.922,Boogeyman
10,28,Peter Zhang,STREET MODIFIED - AWD,1:01.386,Impreza WRX
11,128,Joshua Hanger,STREET MODIFIED - RWD,1:01.523,RX-7
12,183,Mark Melchior,STREET MODIFIED - RWD,1:01.743,M3
13,194,Christopher Mayfield,STREET MODIFIED - RWD,1:01.751,M3
14,6,Michael Aumick,STREET MODIFIED - AWD,1:01.766,STI
15,607,Chris Gladu,STREET MODIFIED - AWD,1:01.891,STi
16,335,Christopher Bickford,STREET GT - RWD,1:01.917,Corvette
17,717,Drew Cleaver,TRACKBATTLE EV - AWD,1:02.584,Model 3
18,55,Charles Miller,STREET - AWD,1:02.719,Evo IX
19,104,JV Hernandez,TRACK MODIFIED - RWD,1:02.920,Miata
20,218,Matthew Thompson,TRACK MODIFIED - RWD,1:03.128,Mustang
21,54,Hsun Chen,STREET GT - RWD,1:03.149,M3
22,34,Austin Hertel,STREET - RWD,1:03.184,370z
23,66,Ben Thorn,STREET - FWD,1:03.391,Civic
24,134,Henry Broddle,STREET MODIFIED - RWD,1:03.515,MR2
25,119,Brandon Oglesby,STREET MODIFIED - RWD,1:03.831,135i
26,437,Cory Ross,TRACK MODIFIED - RWD,1:03.861,M3
27,16,Alex Peitz,STREET GT - RWD,1:03.944,Corvette
28,426,Adam Wood,STREET - AWD,1:03.973,Impreza
29,184,William Rengel,STREET MODIFIED - RWD,1:04.009,Miata
30,523,Scott Musgrove,UNLIMITED - AWD,1:04.112,STI
31,118,Jason Owens,STREET - FWD,1:04.254,Civic Si
32,246,Josh Tenge,STREET - AWD,1:04.286,ttrs
33,13,Jerami Bailey,STREET MODIFIED - RWD,1:04.315,FRS
34,26,Christopher Lathrop,STREET MODIFIED - AWD,1:05.013,Mazdaspeed 6
35,187,Nick Stentiford,STREET - RWD,1:05.072,Silvia
36,512,Kevin Parlett,STREET MODIFIED - RWD,1:05.097,Skyline
37,92,Kait Schirado,STREET GT - AWD,1:05.150,335i X-drive
38,108,Jeanette Negri,STREET MODIFIED - RWD,1:05.210,BRZ
39,461,Luccia Cafiero,STREET MODIFIED - AWD,1:05.218,STi
40,255,Ryan Seiler,STREET MODIFIED - RWD,1:05.376,S2000
41,121,Ryan Mathews,STREET MODIFIED - RWD,1:05.382,Z06
42,78,Kash Singh,UNLIMITED - RWD,1:05.616,GT
43,181,Ryan Sotak,STREET MODIFIED - RWD,1:05.660,325is
44,551,Michael Pagano,STREET MODIFIED - RWD,1:05.792,135i
45,701,Monique Forsythe,STREET GT - RWD,1:05.845,M3
46,14,Kal Fortner,STREET - RWD,1:06.003,BRZ
47,387,Enrique Martinez,STREET MODIFIED - RWD,1:06.011,M3
48,27,Ken Devriese,STREET - RWD,1:06.174,S2000
49,101,Danny Chaimovitz,TRACKBATTLE EV - AWD,1:06.250,Model 3
50,731,David Vong,STREET MODIFIED - RWD,1:06.280,FRS
51,210,Randie Gray,STREET MODIFIED - AWD,1:06.380,WRX
52,137,Dustin McDaniel,STREET - RWD,1:06.440,BRZ
53,313,Nathaniel Eaton,TRACK MODIFIED - RWD,1:06.486,350z
54,667,Cassidy Coghlin,STREET - FWD,1:06.687,Cooper S
55,111,Chris Scheidecker,STREET - RWD,1:06.694,S2000
56,355,Alice Stern,STREET - AWD,1:06.826,STi
57,209,Dominick Tapia,STREET - FWD,1:07.039,Civic hatchback
58,100,Vincent Miller,STREET - FWD,1:07.169,Civic Si
59,38,Ernestas Puzelis,TRACK MODIFIED - RWD,1:07.408,370z
60,138,David Bruner,STREET - RWD,1:07.608,350Z
61,136,Ben Ryan,UNLIMITED - RWD,1:07.633,325
62,981,Saman Ahmadi,STREET MODIFIED - RWD,1:07.714,BRZ
63,669,Austin Shipley,STREET - FWD,1:07.753,Civic Type R
64,423,Jeffrey Tattershall,STREET - FWD,1:07.866,CRX HF
65,303,Ryan Dussex,STREET - FWD,1:08.332,Civic
66,94,Charlie Ensslin,UNLIMITED - RWD,1:08.446,S2000
67,127,Jesse Shapiro,STREET - RWD,1:08.506,MX-5 Miata
68,817,Quin Underwood,TRACK MODIFIED - FWD,1:08.874,Integra
69,178,Loren Southard,TRACK MODIFIED - RWD,1:09.124,GT500
70,69,Kevin Hardin,STREET - RWD,1:09.175,350z
71,219,Brett Bouwer,STREET MODIFIED - AWD,1:09.483,Wrx sti
72,711,Kieran O'Callaghan,TRACK MODIFIED - RWD,1:09.543,240sx
73,410,Seth Confer,STREET - FWD,1:09.717,Neon
74,366,Kane Jacobs,STREET - RWD,1:09.811,S2000
75,710,Steven Graham,STREET - FWD,1:10.038,Civic Si
76,95,Robert Vierhout,STREET - RWD,1:10.159,350z
77,239,Sean O'Brine,STREET - RWD,1:10.437,IS300
78,142,Juan Johnson,STREET MODIFIED - RWD,1:10.732,S2000
79,47,Nicholas Lucchesi,STREET - FWD,1:10.765,Civic
80,221,Joseph King,TRACK MODIFIED - FWD,1:11.085,Festiva
81,354,Jeff Franson,STREET MODIFIED - AWD,1:11.765,Pulsar GTi-R
82,188,Erich Pfalzgraf,UNLIMITED - RWD,1:12.253,Miata
83,68,Daniel Montanez,STREET - RWD,1:13.203,BRZ
84,139,Kevin Head,SUNDAE CUP / SPECFIT - FWD,1:14.141,Fit
85,787,richard soukhavong,STREET - RWD,1:15.162,Miata
