Heat 8 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,131,Michael Forsythe,TRACK MODIFIED - RWD,58.371,S2000
2,150,Alexander Moss,STREET MODIFIED - RWD,58.546,S2000
3,86,Jackie Ding,STREET MODIFIED - RWD,1:01.494,Supra #TA90
4,128,Joshua Hanger,STREET MODIFIED - RWD,1:01.844,RX-7
5,28,Peter Zhang,STREET MODIFIED - AWD,1:02.298,Impreza WRX
6,183,Mark Melchior,STREET MODIFIED - RWD,1:02.642,M3
7,6,Michael Aumick,STREET MODIFIED - AWD,1:03.209,STI
8,54,Hsun Chen,STREET GT - RWD,1:03.473,M3
9,16,Alex Peitz,STREET GT - RWD,1:03.944,Corvette
10,218,Matthew Thompson,TRACK MODIFIED - RWD,1:04.025,Mustang
11,426,Adam Wood,STREET - AWD,1:04.390,Impreza
12,118,Jason Owens,STREET - FWD,1:05.193,Civic Si
13,461,Luccia Cafiero,STREET MODIFIED - AWD,1:05.218,STi
14,523,Scott Musgrove,UNLIMITED - AWD,1:05.270,STI
15,512,Kevin Parlett,STREET MODIFIED - RWD,1:05.769,Skyline
16,387,Enrique Martinez,STREET MODIFIED - RWD,1:06.174,M3
17,92,Kait Schirado,STREET GT - AWD,1:06.205,335i X-drive
18,667,Cassidy Coghlin,STREET - FWD,1:06.687,Cooper S
19,111,Chris Scheidecker,STREET - RWD,1:06.694,S2000
20,26,Christopher Lathrop,STREET MODIFIED - AWD,1:07.123,Mazdaspeed 6
21,355,Alice Stern,STREET - AWD,1:07.258,STi
22,981,Saman Ahmadi,STREET MODIFIED - RWD,1:07.904,BRZ
23,669,Austin Shipley,STREET - FWD,1:08.211,Civic Type R
24,127,Jesse Shapiro,STREET - RWD,1:08.506,MX-5 Miata
25,303,Ryan Dussex,STREET - FWD,1:08.834,Civic
26,710,Steven Graham,STREET - FWD,1:10.038,Civic Si
27,142,Juan Johnson,STREET MODIFIED - RWD,1:10.732,S2000
28,47,Nicholas Lucchesi,STREET - FWD,1:10.781,Civic
29,366,Kane Jacobs,STREET - RWD,1:11.078,S2000
30,221,Joseph King,TRACK MODIFIED - FWD,1:11.099,Festiva
31,139,Kevin Head,SUNDAE CUP / SPECFIT - FWD,1:14.141,Fit
