Heat 1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,281,Casey Jones,UNLIMITED - RWD,1:48.867,Corvette
2,173,Dylan Brown,UNLIMITED - RWD,1:49.404,GT350
3,110,Chet Moseley,STREET GT - RWD,1:52.273,Corvette
4,206,Dalton Klein,TRACK MODIFIED - RWD,1:53.825,Corvette Z06
5,6,Michael Aumick,STREET MODIFIED - AWD,1:54.179,STI
6,335,Christopher Bickford,STREET GT - RWD,1:54.498,Corvette
7,7,Joshua Halka,STREET - AWD,1:55.971,Impreza WRX
8,361,Dustin Nixon,TRACK MODIFIED - RWD,1:56.286,Camaro
9,96,Johnny Cichowski,UNLIMITED - RWD,1:56.352,Miata
10,35,Alex Westergaard,STREET MODIFIED - RWD,1:56.656,S2000
11,291,Chad Ross,STREET GT - RWD,1:59.9 UO,Chevy Corvette
12,13,Jerami Bailey,STREET MODIFIED - RWD,1:57.375,FRS
13,717,Drew Cleaver,STREET GT - AWD,1:58.044,Model 3
14,22,Jeremy Boysen,STREET GT - RWD,1:58.485,C8
15,630,David Cordell,STREET MODIFIED - FWD,1:58.505,Civic Type R
16,808,Chong Lor,STREET - FWD,1:59.856,Civic Type R
17,125,Kevin Head,STREET MODIFIED - RWD,2:01.027,RX-7
18,27,Ken Devriese,STREET - RWD,2:01.191,S2000
19,233,Wilbur Huang,STREET GT - RWD,2:01.796,M4
20,401,SuperK Retirement Project,STREET MODIFIED - RWD,2:02.331,S2000
21,14,Kal Fortner,STREET MODIFIED - AWD,2:03.814,S4
22,46,Nehru Cheddie,STREET - RWD,2:03.851,M3
23,38,Ernestas Puzelis,TRACK MODIFIED - RWD,2:04.513,370z
24,57,Andrew Hayes,STREET - RWD,2:05.116,M3
25,141,Lisa Keyes,STREET - FWD,2:05.320,Civic
26,860,Joshua Garcia,TRACK MODIFIED - RWD,2:05.733,Corolla
27,312,Mikey Singhaseni,STREET - FWD,2:06.498,TSX
28,331,Christian Duchesne,STREET - RWD,2:07.456,FRS
29,959,James Wood,TRACK MODIFIED - RWD,2:07.954,RX-7
30,255,Ryan Seiler,STREET - RWD,2:08.059,S2000
31,182,Ethan Swindel,STREET - FWD,2:10.161,Integra
32,556,Anthony Bui,STREET MODIFIED - RWD,2:10.656,S2000
33,1,Kevin Parlett,UNLIMITED - RWD,2:10.723,Corvette
34,44,Joel Phillips,UNLIMITED - RWD,2:10.724,C63
35,234,Keyin Ding,STREET - AWD,2:11.568,Focus RS
36,103,James Sisson,STREET GT - RWD,2:12.442,Corvette
37,48,Torry Skurski,STREET - RWD,2:12.779,328i
38,139,Team Brap,SUNDAE CUP / SPECFIT - FWD,2:13.561,Fit
39,89,John Zepeda,STREET - FWD,2:18.898,Civic Si
40,197,Mechanical Advantage Unlimited,UNLIMITED - AWD,,Sti
41,100,Chase Johnston,STREET MODIFIED - RWD,,S2000
42,651,Charlie Moua,STREET - FWD,,Civic
