Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,54.009,Corvette
2,577,Mike McGinnis,TRACK MOD - AWD,59.756,GTR
3,70,Dewey DeWitt,STREET MOD - AWD,1:00.233,Impreza L (Boogeyman)
4,131,Michael Forsythe,TRACK MOD - RWD,1:00.395,S2000
5,150,Alex Moss,STREET MOD - RWD,1:01.786,S2000
6,458,Team Dangerous Enterprises,UNLIMITED - AWD,1:02.033,GT-R
7,2,Ryan Dussex,UNLIMITED - AWD,1:02.524,Impreza
8,128,Joshua Hanger,STREET MOD - RWD,1:02.883,RX-7
9,437,Cory Ross,TRACK MOD - RWD,1:02.885,M3
10,919,Gregory Paine,STREET GT - RWD,1:03.381,Shelby GT350R
11,721,Micah Evonitz,STREET GT - RWD,1:03.418,Corvette ZO6
12,78,Kash Singh,UNLIMITED - RWD,1:03.741,Mustang
13,303,Alexander England,UNLIMITED - FWD,1:03.894,S3
14,55,Charles Miller,STREET - AWD,1:04.001,Evo 9
15,207,Adam Wood,STREET - AWD,1:04.033,Impreza
16,66,Ben Thorn,CLUB TR - FWD,1:04.056,Civic
17,218,Matthew Thompson,TRACK MOD - RWD,1:04.063,Mustang
18,224,Charlie Whitney,UNLIMITED - FWD,1:04.131,Festiva
19,14,Kal Fortner,STREET MOD - AWD,1:04.884,S4
20,255,Ryan Seiler,CLUB TR - RWD,1:05.153,S2000
21,246,Josh Tenge,UNLIMITED - AWD,1:05.168,TTRS
22,834,Andrew Voelkel,STREET GT - RWD,1:05.466,Corvette C8
23,727,Trey Tyler,STREET - AWD,1:05.621,WRX STI
24,315,Corey Kononchuk,STREET - RWD,1:05.678,4C
25,469,Rich Enriquez,STREET GT - RWD,1:05.784,Supra
26,332,Rick Ansay,STREET GT - AWD,1:05.839,RS3
27,511,Peter Granberg,STREET MOD - RWD,1:05.960,BRZ
28,527,Jackson Jensen,CLUB TR - RWD,1:06.170,S2000
29,669,Austin Shipley,STREET GT - RWD,1:06.280,Supra
30,234,Brad Riemann,STREET - AWD,1:06.454,Focus RS
31,13,Jerami Bailey,STREET MOD - RWD,1:06.585,Frs
32,310,Mike Coons,STREET - AWD,1:06.621,Impreza WRX STI
33,355,Alice Stern,STREET - AWD,1:06.638,STi
34,210,Randie Gray,STREET MOD - AWD,1:06.881,WRX
35,711,Kieran O'Callaghan,UNLIMITED - RWD,1:06.922,240sx
36,461,Luccia Cafiero,STREET MOD - AWD,1:07.113,STi
37,26,Christopher Lathrop,TRACK MOD - AWD,1:07.201,Mazdaspeed 6
38,595,Dustin Williams,TRACK MOD - RWD,1:07.296,S2000
39,889,Brian Reilly,TRACK MOD - RWD,1:07.317,Miata
40,965,Jaryd Thomson,TRACK MOD - FWD,1:07.514,GTI
41,209,Dominick Tapia,STREET - FWD,1:07.900,Civic hatch
42,736,Cody Smith,STREET MOD - RWD,1:08.109,Cutlass
43,976,Wes Case,UNLIMITED - RWD,1:08.158,M3
44,396,Tyler Starr,TRACK MOD - RWD,1:08.290,FRS
45,237,Geoffrey Hamilton,TRACK MOD - RWD,1:08.647,325i
46,810,Matthew Overstreet,CLUB TR - FWD,1:08.670,Fiesta ST
47,108,Daniel Walker,STREET MOD - RWD,1:08.903,BRZ
48,423,Jeffrey Tattershall,CLUB TR - FWD,1:09.199,CRX
49,317,TGA Performance,STREET - AWD,1:09.665,WRX
50,410,Seth Confer,CLUB TR - FWD,1:09.967,CRX SI
51,264,Nathan Jones,STREET - RWD,1:10.161,G35
52,434,Alan Lehman,STREET - FWD,1:10.213,TL
53,142,Juan Johnson,CLUB TR - RWD,1:10.387,S2000
54,68,Daniel Montanez,CLUB TR - AWD,1:11.732,BRZ
55,47,Nicholas Lucchesi,STREET - FWD,1:12.146,Civic
56,239,Sean O'Brine,STREET MOD - RWD,1:12.443,IS300
57,48,Torry Skurski,STREET - RWD,1:12.459,328i
58,139,Team Brap,SUNDAE CUP - FWD,1:14.051,Fit
59,411,Hard Times Racing,SUNDAE CUP - FWD,1:14.112,Fit
60,219,Brett Bouwer,STREET MOD - AWD,1:14.544,WRX STI
61,229,James Immormino,STREET - FWD,1:15.287,Prelude
62,212,Shawn Krebsbach,STREET MOD - AWD,1:15.902,
63,223,Chelsea Tattershall,STREET GT - RWD,1:16.351,370z
64,969,Peter Lindberg,SUNDAE CUP - FWD,1:16.992,FIT
65,254,Dusty Michael,SUNDAE CUP - FWD,1:17.269,Fit
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
