Results Overall - All Groups - Updated,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
63,68,Daniel Montanez,CLUB TR - AWD,1:09.442,BRZ
29,66,Ben Thorn,CLUB TR - FWD,1:03.376,Civic
56,423,Jeffrey Tattershall,CLUB TR - FWD,1:07.440,CRX
57,810,Matthew Overstreet,CLUB TR - FWD,1:07.934,Fiesta ST
60,410,Seth Confer,CLUB TR - FWD,1:08.657,CRX SI
27,255,Ryan Seiler,CLUB TR - RWD,1:03.221,S2000
43,527,Jackson Jensen,CLUB TR - RWD,1:05.486,S2000
58,142,Juan Johnson,CLUB TR - RWD,1:07.937,S2000
14,310,Mike Coons,STREET - AWD,1:02.143,Impreza WRX STI
16,207,Adam Wood,STREET - AWD,1:02.240,Impreza
19,55,Charles Miller,STREET - AWD,1:02.699,Evo 9
21,727,Trey Tyler,STREET - AWD,1:02.759,WRX STI
41,234,Brad Riemann,STREET - AWD,1:05.280,Focus RS
42,355,Alice Stern,STREET - AWD,1:05.353,STi
52,317,TGA Performance,STREET - AWD,1:06.679,WRX
51,209,Dominick Tapia,STREET - FWD,1:06.537,Civic hatch
62,434,Alan Lehman,STREET - FWD,1:09.184,TL
67,47,Nicholas Lucchesi,STREET - FWD,1:10.926,Civic
69,229,James Immormino,STREET - FWD,1:11.850,Prelude
39,315,Corey Kononchuk,STREET - RWD,1:04.670,4C
64,264,Nathan Jones,STREET - RWD,1:09.517,G35
68,48,Torry Skurski,STREET - RWD,1:11.404,328i
37,332,Rick Ansay,STREET GT - AWD,1:04.610,RS3
17,919,Gregory Paine,STREET GT - RWD,1:02.599,Shelby GT350R
18,721,Micah Evonitz,STREET GT - RWD,1:02.660,Corvette ZO6
32,834,Andrew Voelkel,STREET GT - RWD,1:04.175,Corvette C8
38,669,Austin Shipley,STREET GT - RWD,1:04.646,Supra
66,223,Chelsea Tattershall,STREET GT - RWD,1:10.084,370z
6,212,Shawn Krebsbach,STREET MOD - AWD,58.432,Evo
8,70,Dewey DeWitt,STREET MOD - AWD,58.963,Impreza L (Boogeyman)
10,6,Michael Aumick,STREET MOD - AWD,59.560,Sti
34,210,Randie Gray,STREET MOD - AWD,1:04.313,WRX
35,14,Kal Fortner,STREET MOD - AWD,1:04.411,S4
44,461,Luccia Cafiero,STREET MOD - AWD,1:05.498,STi
70,219,Brett Bouwer,STREET MOD - AWD,1:11.944,WRX STI
55,999,Daniel Escobar,STREET MOD - FWD,1:07.327,Civic si
7,150,Alex Moss,STREET MOD - RWD,58.750,S2000
23,128,Joshua Hanger,STREET MOD - RWD,1:02.883,RX-7
26,511,Peter Granberg,STREET MOD - RWD,1:03.113,BRZ
31,13,Jerami Bailey,STREET MOD - RWD,1:03.603,Frs
33,469,Rich Enriquez,STREET MOD - RWD,1:04.289,Supra
47,108,Daniel Walker,STREET MOD - RWD,1:06.169,BRZ
49,736,Cody Smith,STREET MOD - RWD,1:06.399,Cutlass
65,239,Sean O'Brine,STREET MOD - RWD,1:09.744,IS300
71,139,Team Brap,SUNDAE CUP - FWD,1:12.705,Fit
72,411,Hard Times Racing,SUNDAE CUP - FWD,1:12.775,Fit
73,926,James Morgan,SUNDAE CUP - FWD,1:13.898,Fit
75,969,Peter Lindberg,SUNDAE CUP - FWD,1:14.86 HA,FIT
76,254,Dusty Michael,SUNDAE CUP - FWD,1:15.932,Fit
25,227,Bob Boileau,SUPER UNLIMITED - RWD,1:03.060,M3
50,781,Dave Stock,SUPER UNLIMITED - RWD,1:06.424,Cup Car
3,577,Mike McGinnis,TRACK MOD - AWD,57.914,GTR
40,26,Christopher Lathrop,TRACK MOD - AWD,1:04.975,Mazdaspeed 6
53,965,Jaryd Thomson,TRACK MOD - FWD,1:06.710,GTI
61,369,Lucas Urban,TRACK MOD - FWD,1:08.857,Escort Zx2
2,720,Feras Qartoumy,TRACK MOD - RWD,54.232,Corvette
9,131,Michael Forsythe,TRACK MOD - RWD,59.341,S2000
12,206,Dalton Klein,TRACK MOD - RWD,1:00.851,corvette
13,437,Cory Ross,TRACK MOD - RWD,1:01.733,M3
20,218,Matthew Thompson,TRACK MOD - RWD,1:02.738,Mustang
36,396,Tyler Starr,TRACK MOD - RWD,1:04.552,FRS
45,889,Brian Reilly,TRACK MOD - RWD,1:05.581,Miata
46,595,Dustin Williams,TRACK MOD - RWD,1:05.697,S2000
59,237,Geoffrey Hamilton,TRACK MOD - RWD,1:08.045,325i
4,772,Derek Boyd,UNLIMITED - AWD,58.293,Evo X
5,458,Team Dangerous Enterprises,UNLIMITED - AWD,58.424,GT-R
15,2,Ryan Dussex,UNLIMITED - AWD,1:02.208,Impreza
22,197,Kendall Samuel,UNLIMITED - AWD,1:02.869,Impreza
30,246,Josh Tenge,UNLIMITED - AWD,1:03.431,TTRS
11,303,Alexander England,UNLIMITED - FWD,1:00.431,S3
24,224,Charlie Whitney,UNLIMITED - FWD,1:02.946,Festiva
1,72,Feras Qartoumy,UNLIMITED - RWD,53.233,Corvette
28,78,Kash Singh,UNLIMITED - RWD,1:03.364,Mustang
48,976,Wes Case,UNLIMITED - RWD,1:06.333,M3
54,711,Kieran O'Callaghan,UNLIMITED - RWD,1:06.819,240sx
74,138,David Bruner,UNLIMITED - RWD,1:14.138,Miata
77,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
