Alpine Horizon Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,53.097,Corvette
2,571,Mike DuSold,UNLIMITED - RWD,55.737,Camaro
3,80,Robert Thorne,UNLIMITED - RWD,56.778,911
4,6,Michael Aumick,STREET MODIFIED- AWD,58.248,Impreza
5,209,Dominick Tapia,UNLIMITED - AWD,58.250,Lancer
6,206,Dalton Klein,TRACK MODIFIED- RWD,58.762,Corvette
7,14,Kal Fortner,STREET MODIFIED- RWD,59.645,GTS
8,150,Alex Moss,STREET MODIFIED- RWD,59.765,S2000
9,520,Adam LZ,STREET MODIFIED- AWD,59.799,Lancer
10,194,Christopher Mayfield,STREET MODIFIED- RWD,59.924,Evora
11,350,Steve Luca,STREET GT - RWD,1:00.107,Mustang
12,34,Andy Voelkel,STREET GT - RWD,1:00.220,Corvette
13,333,Tony Barber,STREET - AWD,1:00.805,Model 3
14,16,Ravi Tomerlin,TRACK MODIFIED- RWD,1:00.818,NSX
15,56,Jake Graham,TRACK MODIFIED- AWD,1:01.017,WRX
16,828,Justin Mangnall,UNLIMITED - RWD,1:01.349,911
17,437,Cory Ross,TRACK MODIFIED- RWD,1:01.376,M3
18,228,Daniel Moore,STREET MODIFIED- FWD,1:01.440,Civic
19,469,Rich Enriquez,STREET MODIFIED- RWD,1:01.473,GR Supra
20,246,Josh Tenge,UNLIMITED - AWD,1:02.013,TT
21,310,Mike Coons,STREET - AWD,1:02.068,Impreza
22,2,Ryan Dussex,UNLIMITED - AWD,1:02.123,Impreza
23,109,Dana Basinski,CLUB TR - RWD,1:02.289,BRZ
24,59,Vincent Miller,STREET GT - RWD,1:02.318,Camaro
25,225,Mat Beck,TRACK MODIFIED- RWD,1:02.342,Silvia
26,660,Dan Walker,STREET MODIFIED- AWD,1:02.550,Impreza
27,757,Ernie Ramirez,STREET - AWD,1:02.663,Lancer
28,511,Peter Granberg,CLUB TR - RWD,1:03.020,BRZ
29,650,Jeremy Salenius,UNLIMITED - RWD,1:03.513,Mustang
30,654,Nick Aegerter,STREET - AWD,1:03.611,Focus
31,88,Austin Goetz,CLUB TR - FWD,1:03.786 DQ,Civic
32,595,Dustin Williams,TRACK MODIFIED- AWD,1:04.124,Silvia
33,610,Fez Babar,CLUB TR - RWD,1:04.299,GR86
34,78,Kash Singh,UNLIMITED - RWD,1:04.362,Mustang
35,999,Daniel Escobar,STREET MODIFIED- FWD,1:04.466,Civic
36,708,Ricky Medel,STREET MODIFIED- RWD,1:04.621,Shelby GT500
37,717,Drew Cleaver,STREET - RWD,1:04.706,Model 3 Standard Range Plus RWD (SR+)
38,525,Georg Bower,STREET MODIFIED- AWD,1:04.898,WRX
39,57,Thomas Martinez,STREET GT - RWD,1:04.912,2 Series
40,199,Ian Flavin,CLUB TR - RWD,1:04.967,BRZ
41,355,Alice Stern,STREET - AWD,1:05.022,Impreza
42,234,Brad Riemann,STREET - AWD,1:05.173,Focus
43,26,Christopher Lathrop,TRACK MODIFIED- AWD,1:05.228,MazdaSpeed6
44,610,Fez Babar,Club TR - RWD,1:05.312,GR86
45,934,Cameron Boers,STREET - FWD,1:05.328,GTI
46,202,Austin Butt,CLUB TR - RWD,1:05.618,S2000
47,28,Daniel Montanez,CLUB TR - RWD,1:05.810,BRZ
48,194,Michael Callaway,STREET - AWD,1:05.929,Impreza
49,89,Paul Heffron,TRACK MODIFIED- RWD,1:06.073,Corolla
50,320,Nathan Poulson,CLUB TR - RWD,1:06.108,BRZ
51,41,Foster Johnson,CLUB TR - RWD,1:06.410,S2000
52,869,Kevin Vo,CLUB TR - RWD,1:06.443,FR-S
53,68,Knottfast Motorsports,CLUB TR - RWD,1:06.526,FR-S
54,46,Ru Cheddie,STREET - RWD,1:06.664,M3
55,37,Michael Dean,STREET MODIFIED- AWD,1:06.812,Impreza
56,876,Paul Heffron,TRACK MODIFIED- RWD,1:06.851,Corolla
57,18,David Torsiello,CLUB TR - RWD,1:06.926,MX-5 Miata
58,20,Art Dvortsen,CLUB TR - RWD,1:07.325,MX-5 Miata
59,97,Elijah Salberg,CLUB TR - RWD,1:07.463,328
60,257,Josh Plemons,TRACK MODIFIED- AWD,1:07.524,WRX
61,237,Geoffrey Hamilton,TRACK MODIFIED- RWD,1:08.167,325
62,820,Alan Byer,STREET - FWD,1:08.184,A3
63,43,Alan Lehman,STREET - FWD,1:08.442,CRX
64,229,James Immormino,STREET - FWD,1:08.665,Prelude
65,369,Lucas Urban,SUNDAE CUP - FWD,1:09.477,Escort ZX2
66,119,Ted Xavier,CLUB TR - RWD,1:09.679,124 Spider
67,236,Michael McGillis,STREET MODIFIED- RWD,1:10.186,M3
68,959,Loren Southard,UNLIMITED - RWD,1:10.197,944
69,47,Nick Lucchesi,STREET - FWD,1:10.599,Civic
70,826,Jake Abbott,SUNDAE CUP - FWD,1:11.061,Fit
71,239,Sean O'Brine,STREET - FWD,1:11.345,Integra
72,487,OnGrid X HOTLAP,SUNDAE CUP - FWD,1:11.396,Fit
73,594,Rory Lonergan,SUNDAE CUP - FWD,1:11.397,Fit
74,370,Sam Deuling,SUNDAE CUP - FWD,1:12.023,Fit
75,969,Pete Lindberg,SUNDAE CUP - FWD,1:12.252,Coupe
76,256,Nathan Jones,STREET - FWD,1:13.725,SC
77,42,Brandt Vircks,SUNDAE CUP - AWD,1:21.799,Legacy
