Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,744,Robert Robles,STREET MODIFIED - RWD,1:16.441,GR Supra
2,712,Jason Chin,TRACK MODIFIED - RWD,1:17.971,GT3RS
3,151,Jorge Torres,TRACK MODIFIED - RWD,1:18.465,350z
4,25,Ravi Maraj,TRACK MODIFIED - RWD,1:19.343,BRZ
5,337,John Lazorack,TRACK MODIFIED - RWD,1:20.566,Starion
6,728,Nico Gumayagay,TRACK MODIFIED - RWD,1:20.911,Supra
7,339,Henry Lam,STREET MODIFIED - RWD,1:21.361,RX-7
8,902,Hana Burton,STREET MODIFIED - RWD,1:21.553,Supra
9,734,Omar Kaayal,STREET GT - RWD,1:21.705,M2
10,344,Ron Chang,STREET MODIFIED - RWD,1:21.816,E46 M3
11,51,Chris Reber,STREET GT - RWD,1:21.953,Mustang GT
12,196,Christopher Mayfield,STREET GT - RWD,1:21.984,Evora S
13,674,Jonathan Lugod,CLUB TR - RWD,1:22.529,MX-5
14,324,Johnson Mac,TRACK MODIFIED - RWD,1:22.608,RX-7
15,811,Frank Pacheco,STREET GT - RWD,1:22.727,Supra
16,69,Dwayne Bada,STREET - FWD,1:22.756,Civic
17,168,Jack Nguyen,STREET - FWD,1:22.874,Civic
18,657,Frankie Ho,CLUB TR - RWD,1:22.995,BRZ
19,132,Steve Nguyen,STREET - FWD,1:22.999,Civic Type R
20,157,Robert Burch,TRACK MODIFIED - FWD,1:23.145,S2000
21,49,Adam Tarnoff,STREET - RWD,1:23.397,124 Spider
22,951,Kyle Wilder,STREET GT - RWD,1:23.664,Camaro
23,372,Chris Kirkland,STREET - RWD,1:23.720,350z
24,240,James Hou,STREET - AWD,1:24.140,STi
25,404,Daniel Giraldo,TRACK MODIFIED - RWD,1:24.154,LS350C
26,562,Matt Davis,STREET MODIFIED - FWD,1:24.242,Corolla
27,710,Andre Velikorodnohh,STREET - RWD,1:24.656,Miata
28,870,Austin Kirk,STREET GT - RWD,1:24.804,Camaro
29,233,Alex Valencia,TRACK MODIFIED - RWD,1:24.955,350z
30,508,Phu Bui,CLUB TR - RWD,1:25.167,FR-S
31,709,Luciano Coloma,CLUB TR - RWD,1:25.214,BRZ
32,375,Kenneth Keo,STREET - RWD,1:25.637,S2000
33,622,Young / Meng Tea,CLUB TR - FWD,1:26.128,Civic
34,746,Ivan Carl Antonio,STREET - FWD,1:26.474,Civic Si
35,67,Morgan Higham,STREET - AWD,1:26.519,Model 3 Performance
36,127,Juliette Hadjes,CLUB TR - RWD,1:26.948,S2000
37,924,Konstantin Nikiforov,STREET GT - RWD,1:27.063,Mustang
38,576,Dallas Reed,STREET - RWD,1:27.273,RX-8
39,447,John Burrows,STREET - FWD,1:27.457,Civic Si
40,126,Arnold Pamplona,STREET MODIFIED - AWD,1:27.537,WRX STi
41,595,Dustin Williams,STREET MODIFIED - RWD,1:27.935,S2000
42,143,Kai Workman,STREET - FWD,1:28.058,Civic Si
43,515,Jesus Estrella,CLUB TR - RWD,1:28.086,FR-S
44,556,Stephen Ellis,CLUB TR - RWD,1:28.351,86
45,213,Jedwyn Taasin,CLUB TR - FWD,1:29.011,Veloster R-Spec
46,890,Aaron Ocampo,STREET GT - RWD,1:29.392,A90 Supra
47,429,Alex Artates,CLUB TR - FWD,1:29.476,Civic
48,606,Terry Denton,TRACK MODIFIED - RWD,1:29.637,M3
49,446,Rob Dahm,TRACK MODIFIED - RWD,1:29.720,RX7
50,190,William Mac,STREET MODIFIED - RWD,1:30.105,RX-7
51,917,Gabriel Gonzalez,STREET MODIFIED - RWD,1:30.312,RX-7
52,230,Team NRB,CLUB TR - FWD,1:31.317,Celica
53,637,Frank Le,STREET MODIFIED - RWD,1:31.741,S2000
54,443,Hector Hernandez,CLUB TR - FWD,1:31.803,TSX
55,524,Adam Johnston,CLUB TR - RWD,1:32.335,BRZ
56,969,Peter Lindberg,SUNDAE CUP - FWD,1:36.246,Fit
57,572,Terence Keon,SUNDAE CUP - RWD,1:36.440,Miata
58,846,Timothy Wills-Detone,SUNDAE CUP - FWD,1:36.645,Fiesta
59,445,Isaiah Duran,STREET - RWD,1:36.789,RX8
60,119,Ted Xavier,CLUB TR - RWD,1:38.599,124 Spider
