Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,805,Craig Coker,UNLIMITED - AWD,1:11.140,MODEL S
2,895,Damon Fryer,UNLIMITED - AWD,1:17.463,Super Trofeo
3,811,Peter Tuchenishki,STREET MOD - AWD,1:20.027,IMPREZA
4,380,Jeffery Ting,STREET MOD - FWD,1:20.505,CIVIC TYPE R
5,792,Rafael Guerrero,STREET - RWD,1:21.436,RX-7
6,833,Brian Chilldres,STREET GT - RWD,1:21.466,CAMARO
7,105,Frank Pacheco,TRACK MOD - RWD,1:21.475,CAMARO
8,922,Luke Lederman,STREET - RWD,1:22.164,718 CAYMAN
9,246,Richard Klein,STREET MOD - AWD,1:22.322,IMPREZA
10,149,Jonathan Lugod,STREET - RWD,1:22.413,BRZ
11,227,Jakob Lim,TRACK MOD - FWD,1:22.456,CIVIC
12,489,Omar Kaayal,STREET - RWD,1:22.988,S2000
13,558,Larry Chen,STREET MOD - RWD,1:23.094,86
14,168,Adam Xia,STREET - RWD,1:23.432,350Z
15,303,Brad Wintermantle,STREET GT - RWD,1:23.435,MUSTANG
16,328,Steve Nguyen,STREET - FWD,1:23.456,CIVIC TYPE R
17,626,Ger Xiong,CLUB TR - RWD,1:23.801,S2000
18,454,Karla Pestotnik,CLUB TR - RWD,1:24.579,S2000
19,249,Carlos Valenzuela,CLUB TR - FWD,1:25.647,CIVIC
20,562,Matt Davis,STREET - RWD,1:26.084,MX-5 MIATA
21,556,Stephen Ellis,STREET - RWD,1:26.257,86
22,769,Joey Cadavid,STREET - RWD,1:26.899,S2000
23,885,Victor Saldajeno,STREET - RWD,1:27.839,BRZ
24,106,John Gonzales,TRACK MOD - RWD,1:27.900,S2000
25,535,Young Tea,CLUB TR - FWD,1:28.135,CIVIC
26,701,Moises Mandujano,CLUB TR - RWD,1:28.507,86
27,508,Luis Calderon,CLUB TR - FWD,1:29.592,CIVIC
28,387,Victor Shakhverdyan,CLUB TR - RWD,1:30.064,BRZ
29,369,Lucas Urban,SUNDAE CUP - FWD,1:30.881,ZX2
30,135,Taylour Wargo,SUNDAE CUP - FWD,1:32.030,FIT
31,440,Emmanuel Vazquez,STREET MOD - FWD,1:32.649,RSX
32,9,Jason Aguirre,CLUB TR - FWD,1:33.287,Civic
33,188,Ricky Iturralde,SUNDAE CUP - FWD,1:33.417,FIESTA
34,568,Adam Santella,STREET MOD - RWD,1:35.869,MX-5 MIATA
35,815,Tim Manzano,SUNDAE CUP - FWD,1:36.906,FIT
36,992,Christopher Rosales,STREET - FWD,,CIVIC TYPE R
