Overall Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,491,Robin Shute,SUPER UNLIMITED - RWD,59.331,TSC-FS
2,805,Craig Coker,UNLIMITED - AWD,1:11.140,MODEL S
3,232,Andrew Dekoning,TRACK MOD - AWD,1:14.272,MODEL S
4,895,Damon Fryer,UNLIMITED - AWD,1:17.463,Super Trofeo
5,105,Frank Pacheco,TRACK MOD - RWD,1:17.618,CAMARO
6,923,Mike Reyes,TRACK MOD - RWD,1:18.118,GR SUPRA
7,380,Jeffery Ting,STREET MOD - FWD,1:19.682,CIVIC TYPE R
8,811,Peter Tuchenishki,STREET MOD - AWD,1:19.848,IMPREZA
9,267,Morgan Higham,STREET GT - AWD,1:20.761,MODEL 3
10,792,Rafael Guerrero,STREET - RWD,1:21.082,RX-7
11,833,Brian Chilldres,STREET GT - RWD,1:21.466,CAMARO
12,922,Luke Lederman,STREET - RWD,1:21.515,718 CAYMAN
13,992,Christopher Rosales,STREET - FWD,1:21.892,CIVIC TYPE R
14,168,Adam Xia,STREET - RWD,1:22.091,350Z
15,227,Jakob Lim,TRACK MOD - FWD,1:22.092,CIVIC
16,328,Steve Nguyen,STREET - FWD,1:22.261,CIVIC TYPE R
17,246,Richard Klein,STREET MOD - AWD,1:22.322,IMPREZA
18,149,Jonathan Lugod,STREET - RWD,1:22.413,BRZ
19,444,Christopher Carlton,STREET GT - RWD,1:22.797,CAMARO
20,489,Omar Kaayal,STREET - RWD,1:22.988,S2000
21,558,Larry Chen,STREET MOD - RWD,1:23.094,86
22,303,Brad Wintermantle,STREET GT - RWD,1:23.305,MUSTANG
23,626,Ger Xiong,CLUB TR - RWD,1:23.523,S2000
24,454,Karla Pestotnik,CLUB TR - RWD,1:24.579,S2000
25,249,Carlos Valenzuela,CLUB TR - FWD,1:24.754,CIVIC
26,556,Stephen Ellis,STREET - RWD,1:25.132,86
27,562,Matt Davis,STREET - RWD,1:26.084,MX-5 MIATA
28,769,Joey Cadavid,STREET - RWD,1:26.526,S2000
29,885,Victor Saldajeno,STREET - RWD,1:27.306,BRZ
30,106,John Gonzales,TRACK MOD - RWD,1:27.900,S2000
31,535,Young Tea,CLUB TR - FWD,1:28.115,CIVIC
32,701,Moises Mandujano,CLUB TR - RWD,1:28.262,86
33,504,Arnold Pamplona,STREET MOD - AWD,1:28.765,WRX
34,508,Luis Calderon,CLUB TR - FWD,1:28.775,CIVIC
35,387,Victor Shakhverdyan,CLUB TR - RWD,1:30.064,BRZ
36,817,Team Riaction,CLUB TR - FWD,1:30.083,CIVIC
37,440,Emmanuel Vazquez,STREET MOD - FWD,1:30.327,RSX
38,369,Lucas Urban,SUNDAE CUP - FWD,1:30.588,ZX2
39,135,Taylour Wargo,SUNDAE CUP - FWD,1:31.421,FIT
40,9,Jason Aguirre,CLUB TR - FWD,1:32.922,Civic
41,188,Ricky Iturralde,SUNDAE CUP - FWD,1:33.417,FIESTA
42,122,Jason Davidson,SUNDAE CUP - FWD,1:33.480,FIT
43,815,Tim Manzano,SUNDAE CUP - FWD,1:35.458,FIT
44,568,Adam Santella,STREET MOD - RWD,1:35.523,MX-5 MIATA
45,305,Tj Keon,STREET GT - RWD,1:36.586,CROWN VICTORIA
46,619,Throtl Racing,STREET MOD - RWD,1:40.457,CIVIC
